Rank,Median Household Income ▼,Zip / Population
788,"$58,517","95694 / 9,574"
789,"$58,500","92706 / 36,585"
789,"$58,500",95232 / 217
791,"$58,438",95957 / 773
792,"$58,381","93631 / 16,844"
793,"$58,365","91101 / 21,098"
794,"$58,363","94559 / 27,062"
795,"$58,361","91304 / 53,517"
796,"$58,353","91906 / 3,644"
797,"$58,289","95421 / 1,537"
798,"$58,272","95818 / 20,135"
799,"$58,262","92582 / 16,200"
800,"$58,191","95329 / 2,654"
801,"$58,012","93238 / 1,575"
802,"$57,969","95975 / 2,072"
803,"$57,917",96014 / 152
804,"$57,895","94541 / 62,738"
805,"$57,883","91325 / 32,823"
806,"$57,860","93030 / 61,215"
807,"$57,789","91744 / 87,096"
808,"$57,731","93505 / 13,232"
809,"$57,708","92627 / 60,806"
810,"$57,670",93920 / 839
811,"$57,664","95627 / 3,498"
812,"$57,654","91321 / 34,576"
813,"$57,652","95361 / 32,544"
814,"$57,640","91042 / 28,126"
815,"$57,639",95970 / 482
816,"$57,610","94605 / 43,168"
817,"$57,588","93543 / 13,578"
818,"$57,557","92211 / 24,564"
819,"$57,484","94928 / 42,668"
820,"$57,470","95122 / 57,564"
821,"$57,400","95425 / 10,699"
822,"$57,333","92831 / 35,316"
823,"$57,287","92114 / 69,305"
824,"$57,286","92509 / 78,221"
825,"$57,241","93402 / 14,880"
826,"$57,223","92028 / 48,335"
827,"$57,212",96141 / 669
828,"$57,124","92307 / 38,204"
829,"$57,095","90242 / 43,199"
830,"$57,052","92504 / 53,960"
831,"$57,047","95111 / 60,907"
832,"$57,038","92707 / 63,595"
833,"$57,014","93426 / 1,522"
834,"$56,973","94533 / 70,634"
835,"$56,923",95956 / 459
836,"$56,885","95336 / 46,433"
837,"$56,875","93560 / 19,189"
837,"$56,875",95689 / 904
839,"$56,767","91754 / 33,622"
840,"$56,743","90034 / 58,968"
841,"$56,738","93552 / 42,073"
842,"$56,696","95640 / 10,681"
843,"$56,683",95488 / 309
844,"$56,671","95076 / 84,587"
845,"$56,667",95720 / 60
846,"$56,651","95834 / 23,986"
847,"$56,646","95355 / 59,955"
848,"$56,632","91803 / 30,586"
849,"$56,607","90660 / 63,686"
849,"$56,607",95549 / 869
851,"$56,567","93015 / 17,423"
852,"$56,563",96009 / 329
853,"$56,541","95973 / 33,511"
854,"$56,394","95937 / 1,133"
855,"$56,378","94609 / 22,059"
856,"$56,337","90046 / 51,329"
857,"$56,277","92392 / 56,461"
858,"$56,250",95636 / 771
858,"$56,250",95830 / 762
860,"$56,245","90717 / 21,612"
861,"$56,219","90621 / 35,478"
862,"$56,154","94589 / 30,811"
863,"$56,101","95690 / 1,932"
864,"$56,081","95547 / 1,347"
865,"$56,059","90241 / 43,596"
866,"$56,049","95603 / 28,652"
867,"$55,996","95726 / 8,566"
868,"$55,959","94608 / 26,323"
869,"$55,947","92505 / 49,064"
870,"$55,882","90704 / 3,952"
871,"$55,878","95623 / 4,317"
872,"$55,865","94565 / 87,395"
873,"$55,833","95010 / 9,367"
874,"$55,827","95833 / 39,117"
875,"$55,801","93117 / 55,064"
876,"$55,750",92239 / 428
877,"$55,710","95667 / 36,639"
878,"$55,656","95670 / 52,886"
879,"$55,635","92111 / 47,590"
880,"$55,599","95320 / 12,739"
881,"$55,530","92078 / 45,926"
882,"$55,500",95323 / 998
883,"$55,355","95987 / 5,979"
884,"$55,256","95608 / 60,729"
885,"$55,250","95045 / 3,969"
886,"$55,238","91343 / 61,976"
887,"$55,217","91340 / 35,455"
888,"$55,210","93033 / 82,263"
889,"$55,169","92365 / 1,953"
890,"$55,111","90814 / 18,789"
891,"$55,082","93906 / 63,529"
892,"$55,069","92567 / 9,469"
893,"$55,051","92503 / 92,959"
894,"$55,000",95653 / 565
895,"$54,980","93436 / 55,176"
896,"$54,966","92116 / 32,943"
897,"$54,945","93001 / 32,360"
897,"$54,945","93101 / 32,860"
899,"$54,792","95379 / 3,837"
900,"$54,782","93060 / 33,836"
901,"$54,769","91702 / 60,475"
901,"$54,769","93532 / 2,419"
903,"$54,688",96029 / 165
904,"$54,640","91910 / 76,797"
905,"$54,630","90710 / 27,550"
906,"$54,565","92081 / 28,843"
907,"$54,527","96130 / 21,920"
908,"$54,444",95659 / 775
909,"$54,422","92805 / 70,839"
910,"$54,381","93722 / 80,455"
911,"$54,372","94509 / 63,351"
912,"$54,366","95326 / 9,487"
913,"$54,327",95714 / 284
914,"$54,205","93451 / 4,187"
915,"$54,034","95565 / 1,092"
916,"$54,003","94063 / 31,881"
917,"$54,000","92397 / 4,616"
918,"$53,955","93933 / 22,696"
919,"$53,820","92026 / 49,981"
920,"$53,807","92359 / 8,298"
921,"$53,750",93541 / 651
922,"$53,677","90740 / 24,288"
923,"$53,652","95407 / 40,657"
924,"$53,648","95826 / 38,378"
925,"$53,571",93432 / 798
926,"$53,559","92683 / 91,204"
927,"$53,473","92027 / 56,892"
928,"$53,466","95363 / 26,087"
929,"$53,456","93523 / 3,378"
930,"$53,419","96008 / 1,128"
931,"$53,389","94535 / 4,543"
932,"$53,385","93667 / 2,089"
933,"$53,368","95436 / 5,582"
934,"$53,281","95666 / 5,533"
935,"$53,250",96146 / 823
936,"$53,235","95357 / 11,353"
937,"$53,214",95936 / 244
938,"$53,194","95612 / 1,045"
939,"$53,150","94133 / 27,662"
940,"$53,059","92841 / 32,839"
941,"$53,056",95564 / 500
942,"$53,054","92249 / 7,147"
943,"$53,008","93230 / 66,316"
944,"$53,002","95816 / 16,845"
945,"$52,906","93401 / 27,920"
946,"$52,841",95701 / 718
946,"$52,841",96148 / 781
948,"$52,813","95401 / 38,604"
949,"$52,794","90065 / 46,254"
950,"$52,579","93442 / 10,998"
951,"$52,564","93454 / 37,362"
952,"$52,536","92843 / 44,468"
953,"$52,517","91755 / 27,305"
954,"$52,500",96063 / 222
955,"$52,457","92069 / 47,130"
956,"$52,420","93955 / 34,084"
957,"$52,408","92804 / 85,969"
958,"$52,376","91945 / 26,027"
959,"$52,371","93041 / 23,998"
960,"$52,354","91942 / 39,438"
961,"$52,329","93430 / 2,735"
962,"$52,314","92101 / 35,893"
963,"$52,292","95684 / 2,980"
964,"$52,279","96107 / 1,077"
965,"$52,274","91607 / 29,591"
965,"$52,274","95695 / 38,790"
967,"$52,233","93927 / 17,697"
968,"$52,203","93306 / 68,910"
969,"$52,173","94806 / 60,101"
970,"$52,154","96022 / 17,488"
971,"$52,143","95461 / 3,318"
972,"$52,123","93527 / 1,914"
973,"$52,077","91206 / 33,706"
974,"$52,015","95012 / 10,470"
975,"$52,000",93544 / 951
976,"$51,992","94514 / 1,174"
977,"$51,976","94305 / 13,538"
978,"$51,956","90248 / 9,936"
979,"$51,935","90670 / 15,594"
980,"$51,927","95222 / 5,228"
981,"$51,921",94937 / 970
982,"$51,908",95943 / 805
983,"$51,875",95412 / 352
984,"$51,869","95971 / 5,798"
985,"$51,827","95621 / 41,474"
986,"$51,806",95312 / 276
987,"$51,769","90260 / 35,854"
988,"$51,702","92407 / 60,118"
989,"$51,667","92036 / 2,977"
990,"$51,618",95420 / 442
991,"$51,520","93453 / 3,486"
992,"$51,500","92394 / 34,479"
993,"$51,427","90042 / 61,034"
994,"$51,398","91335 / 77,952"
995,"$51,389",95450 / 228
996,"$51,365","92802 / 43,743"
997,"$51,345","91331 / 102,367"
998,"$51,341","93292 / 38,825"
999,"$51,286","95324 / 7,733"
1000,"$51,280","93245 / 37,062"
1001,"$51,250","93514 / 14,472"
1001,"$51,250",93526 / 714
1001,"$51,250",93603 / 274
1004,"$51,234","91706 / 77,692"
1005,"$51,225","91801 / 53,792"
1006,"$51,116","92571 / 54,825"
1007,"$51,105","91786 / 52,152"
1008,"$51,060","91764 / 54,078"
1009,"$51,056","93277 / 51,849"
1010,"$51,044","93926 / 9,128"
1011,"$50,996","90249 / 27,451"
1012,"$50,858","93614 / 10,865"
1013,"$50,854","95673 / 14,773"
1014,"$50,833","93291 / 54,899"
1015,"$50,764","95912 / 4,550"
1016,"$50,744","92371 / 14,729"
1017,"$50,740","95334 / 16,330"
1018,"$50,707","91762 / 56,148"
1019,"$50,595",93529 / 589
1020,"$50,568","92054 / 42,992"
1021,"$50,536","95610 / 43,572"
1022,"$50,528","95827 / 20,294"
1023,"$50,526","91201 / 22,985"
1024,"$50,500",95466 / 913
1024,"$50,500","95570 / 2,083"
1026,"$50,455",93604 / 874
1027,"$50,449","92551 / 33,050"
1028,"$50,446",95233 / 591
1029,"$50,401","92084 / 48,275"
1030,"$50,381","91406 / 53,528"
1031,"$50,316","90027 / 46,025"
1032,"$50,309","92260 / 32,855"
1033,"$50,290","93210 / 21,303"
1034,"$50,227","95536 / 3,078"
1035,"$50,051","95519 / 18,496"
1036,"$50,047","92703 / 69,890"
1037,"$50,035","92021 / 66,854"
1038,"$50,000","93445 / 7,168"
1039,"$49,928","92310 / 9,191"
1040,"$49,851","92020 / 58,305"
1041,"$49,786","90731 / 62,348"
1042,"$49,785","93657 / 35,653"
1043,"$49,732",96016 / 532
1044,"$49,708","95346 / 1,541"
1045,"$49,688","95340 / 34,745"
1046,"$49,594","94124 / 35,201"
1047,"$49,567","95358 / 31,709"
1048,"$49,552","92530 / 51,816"
1049,"$49,545","95469 / 1,960"
1050,"$49,541","94804 / 40,941"
1051,"$49,491","93901 / 26,438"
1052,"$49,470","95460 / 2,338"
1053,"$49,454","95112 / 57,503"
1054,"$49,423","92590 / 3,841"
1055,"$49,418","93433 / 13,337"
1056,"$49,360","90706 / 77,455"
1057,"$49,206","91767 / 49,027"
1058,"$49,121","93637 / 40,101"
1059,"$49,095","94578 / 38,629"
1060,"$49,088","91352 / 46,874"
1061,"$49,087","90810 / 36,736"
1062,"$49,063",96117 / 244
1063,"$49,056","91763 / 37,432"
1064,"$48,994","91401 / 40,503"
1065,"$48,950","96137 / 3,606"
1066,"$48,940","95665 / 4,862"
1067,"$48,912","95370 / 26,904"
1068,"$48,896","91766 / 71,851"
1069,"$48,891","91911 / 83,710"
1070,"$48,839",95556 / 655
1071,"$48,788","92316 / 31,720"
1072,"$48,733","92104 / 44,590"
1073,"$48,681","95503 / 24,900"
1074,"$48,617","93643 / 2,724"
1075,"$48,610","92501 / 22,216"
1076,"$48,510",95369 / 977
1077,"$48,500","95977 / 1,887"
1078,"$48,488","95301 / 38,007"
1079,"$48,470","93221 / 15,391"
1080,"$48,461","93704 / 26,009"
1081,"$48,443","95988 / 8,913"
1082,"$48,345","92844 / 24,314"
1083,"$48,302","91776 / 37,378"
1084,"$48,287","95247 / 4,689"
1085,"$48,285",95675 / 309
1086,"$48,147","92055 / 12,725"
1087,"$48,142","95525 / 1,668"
1088,"$48,117","91932 / 26,257"
1089,"$48,063","93553 / 1,975"
1090,"$47,882","93654 / 31,575"
1091,"$47,868","95386 / 10,066"
1092,"$47,833","93513 / 1,584"
1093,"$47,796","90680 / 30,770"
1094,"$47,692","95338 / 11,075"
1095,"$47,679",96090 / 397
1096,"$47,672","92801 / 63,883"
1097,"$47,656","94520 / 38,743"
1098,"$47,644","96113 / 2,294"
1099,"$47,625","96032 / 2,339"
1100,"$47,622","90602 / 26,676"
1101,"$47,500",95979 / 685
1101,"$47,500","96150 / 28,618"
1103,"$47,440","96088 / 4,099"
1104,"$47,436","90640 / 63,400"
1105,"$47,413","95116 / 52,597"
1106,"$47,394","92325 / 8,318"
1107,"$47,369","93309 / 60,631"
1108,"$47,308","90010 / 3,792"
1109,"$47,202","91601 / 38,781"
1110,"$47,177","91768 / 36,454"
1111,"$47,098","93960 / 27,212"
1112,"$47,078","91770 / 63,119"
1113,"$47,031",93429 / 114
1113,"$47,031","95955 / 1,384"
1115,"$46,827",95635 / 870
1116,"$46,667","95652 / 1,010"
1117,"$46,655","92058 / 45,685"
1118,"$46,615","93268 / 16,890"
1119,"$46,575","95237 / 2,999"
1120,"$46,519","92262 / 26,693"
1121,"$46,518","92314 / 10,572"
1122,"$46,497","96003 / 44,398"
1123,"$46,453","95932 / 7,808"
1124,"$46,441","95961 / 26,979"
1125,"$46,435","90026 / 67,986"
1126,"$46,422","96001 / 34,469"
1127,"$46,394","93727 / 73,671"
1128,"$46,392","95953 / 10,631"
1129,"$46,319",95494 / 188
1130,"$46,318","96067 / 6,994"
1131,"$46,250",91759 / 369
1131,"$46,250",95230 / 635
1133,"$46,187","91303 / 27,827"
1134,"$46,121","93653 / 1,357"
1135,"$46,073","92083 / 36,604"
1136,"$45,953","95482 / 33,157"
1137,"$45,947","95321 / 3,461"
1138,"$45,906","95928 / 36,081"
1139,"$45,889","92311 / 32,831"
1140,"$45,877","93040 / 2,037"
1141,"$45,871","95919 / 1,529"
1142,"$45,769",95698 / 219
1143,"$45,766","90250 / 95,223"
1144,"$45,729","95551 / 1,826"
1145,"$45,631","95307 / 42,470"
1146,"$45,625",91934 / 293
1147,"$45,591","93274 / 71,430"
1148,"$45,588","95389 / 1,312"
1149,"$45,568","92655 / 9,139"
1150,"$45,551","93222 / 1,681"
1151,"$45,509",95257 / 385
1152,"$45,485","93656 / 7,194"
1153,"$45,474","90220 / 50,222"
1154,"$45,439","95828 / 61,490"
1155,"$45,433","92025 / 49,734"
1156,"$45,392","95451 / 12,035"
1157,"$45,332","95616 / 48,106"
1158,"$45,313",93276 / 176
1159,"$45,299","95453 / 10,345"
1160,"$45,268","96051 / 1,110"
1161,"$45,208","90032 / 47,309"
1162,"$45,197","90805 / 94,561"
1163,"$45,191","93434 / 7,178"
1164,"$45,147",92339 / 997
1165,"$45,056","93635 / 39,439"
1166,"$44,984","90802 / 38,816"
1167,"$44,965","92376 / 85,647"
1168,"$44,902","95327 / 8,679"
1169,"$44,792","95303 / 1,019"
1170,"$44,771","95315 / 12,381"
1171,"$44,724","91203 / 13,740"
1172,"$44,629","90804 / 40,679"
1173,"$44,583","96024 / 1,163"
1174,"$44,554","95528 / 1,273"
1174,"$44,554","96093 / 4,006"
1176,"$44,542","95842 / 31,671"
1177,"$44,531","90040 / 12,830"
1178,"$44,500","95917 / 3,508"
1179,"$44,464","95681 / 1,475"
1180,"$44,423","95948 / 10,349"
1181,"$44,417",94929 / 82
1182,"$44,412","95468 / 1,192"
1183,"$44,392","95822 / 42,907"
1184,"$44,348","96056 / 1,407"
1185,"$44,333",95550 / 269
1186,"$44,250","96118 / 1,590"
1187,"$44,223","93644 / 7,434"
1188,"$44,111","93225 / 5,572"
1189,"$44,028","96035 / 3,604"
1190,"$44,010","92536 / 2,750"
1191,"$44,000","95374 / 1,847"
1192,"$43,981","95642 / 6,619"
1193,"$43,971",96105 / 165
1194,"$43,917","92276 / 7,921"
1195,"$43,913","93271 / 2,278"
1196,"$43,854",95471 / 528
1197,"$43,803","93458 / 56,514"
1198,"$43,785","90806 / 43,140"
1199,"$43,784","90723 / 54,813"
1200,"$43,758","91411 / 24,146"
1201,"$43,750",93954 / 246
1201,"$43,750",96119 / 71
1203,"$43,707","91605 / 56,060"
1204,"$43,703","92264 / 19,754"
1205,"$43,657","96002 / 33,202"
1206,"$43,638","92225 / 23,509"
1207,"$43,594",95459 / 596
1208,"$43,564","95446 / 4,419"
1209,"$43,526","90280 / 95,515"
1210,"$43,442","93662 / 30,700"
1211,"$43,430","96027 / 2,462"
1212,"$43,372","95204 / 29,246"
1213,"$43,355",95736 / 250
1214,"$43,345","92308 / 39,953"
1215,"$43,333","92070 / 1,193"
1216,"$43,322","93609 / 5,843"
1217,"$43,295",92066 / 273
1217,"$43,295","95589 / 1,226"
1219,"$43,264","92250 / 8,461"
1220,"$43,244","90019 / 67,606"
1221,"$43,170","92234 / 52,534"
1222,"$43,165","95991 / 41,212"
1223,"$43,092","92335 / 99,580"
1224,"$43,036","92372 / 5,929"
1224,"$43,036",95601 / 161
1226,"$42,984","92553 / 73,803"
1227,"$42,968","90247 / 47,374"
1228,"$42,857",96142 / 731
1229,"$42,844","93710 / 33,114"
1230,"$42,835","93535 / 73,282"
1231,"$42,829","95457 / 3,331"
1232,"$42,828","92115 / 61,718"
1233,"$42,807","93905 / 60,887"
1234,"$42,778","95945 / 25,223"
1235,"$42,753","90221 / 53,657"
1236,"$42,711","92227 / 26,818"
1237,"$42,708","95039 / 1,545"
1238,"$42,698","92570 / 56,766"
1239,"$42,677","95388 / 14,410"
1240,"$42,655","95540 / 13,012"
1241,"$42,627","96064 / 4,762"
1242,"$42,619",96084 / 530
1243,"$42,614","95311 / 2,073"
1244,"$42,576","95645 / 2,110"
1245,"$42,545","95629 / 1,002"
1246,"$42,517","92284 / 25,045"
1247,"$42,500",94971 / 362
1247,"$42,500",95568 / 94
1247,"$42,500",96132 / 103
1250,"$42,454","93930 / 16,843"
1251,"$42,433","96020 / 2,246"
1252,"$42,404","95206 / 65,324"
1253,"$42,366","95333 / 3,064"
1254,"$42,323","92345 / 81,049"
1255,"$42,319","95901 / 32,742"
1256,"$42,303","93630 / 18,990"
1257,"$42,299","95383 / 3,728"
1258,"$42,273",93224 / 429
1258,"$42,273",95950 / 724
1260,"$42,250","93625 / 7,068"
1261,"$42,237",93549 / 334
1262,"$42,228","95832 / 11,908"
1263,"$42,222",93641 / 233
1264,"$42,213","95360 / 11,756"
1265,"$42,212","92320 / 8,097"
1266,"$42,206","92243 / 48,615"
1267,"$42,195","91606 / 45,467"
1268,"$42,084","92544 / 47,136"
1269,"$42,083",93450 / 814
1270,"$42,057","90262 / 70,650"
1271,"$41,982","95969 / 27,443"
1272,"$41,964",92268 / 605
1273,"$41,888","95942 / 1,098"
1274,"$41,772","96094 / 6,370"
1275,"$41,737","93308 / 54,132"
1276,"$41,615","95660 / 33,014"
1277,"$41,612","94103 / 24,108"
1278,"$41,579","93286 / 9,942"
1279,"$41,578","90744 / 58,061"
1280,"$41,575","92102 / 44,893"
1281,"$41,536","92617 / 15,805"
1282,"$41,522",96124 / 366
1283,"$41,488","93206 / 2,196"
1283,"$41,488","93405 / 34,833"
1285,"$41,485","91732 / 63,849"
1286,"$41,458","95249 / 3,796"
1287,"$41,393","95553 / 1,173"
1288,"$41,278","92324 / 58,013"
1289,"$41,202","92315 / 5,236"
1290,"$41,187","90302 / 30,219"
1291,"$41,136","95531 / 24,202"
1292,"$41,103","95328 / 4,717"
1293,"$41,051","92507 / 55,156"
1294,"$41,042",95345 / 448
1294,"$41,042",96076 / 88
1296,"$41,016","96101 / 5,260"
1297,"$40,962","94603 / 32,306"
1298,"$40,930","91733 / 43,790"
1299,"$40,903","95348 / 31,387"
1300,"$40,897","92236 / 43,037"
1301,"$40,833","93263 / 20,204"
1302,"$40,826","94590 / 34,859"
1303,"$40,807","90303 / 26,453"
1304,"$40,781","96028 / 1,633"
1305,"$40,775","95966 / 30,916"
1306,"$40,753","95215 / 23,764"
1307,"$40,747","96055 / 4,097"
1308,"$40,732","95322 / 8,727"
1309,"$40,730","95820 / 34,529"
1310,"$40,545","95954 / 12,535"
1311,"$40,528","90047 / 46,999"
1312,"$40,500",95563 / 559
1313,"$40,461","95350 / 50,676"
1314,"$40,455","96019 / 10,129"
1315,"$40,341",94576 / 87
1316,"$40,340","96143 / 3,855"
1317,"$40,208","91502 / 12,605"
1318,"$40,181","95562 / 3,435"
1319,"$40,179",93251 / 229
1320,"$40,119","92545 / 41,078"
1321,"$40,109","93242 / 3,230"
1322,"$40,079","92230 / 3,297"
1323,"$40,056","90222 / 32,362"
1324,"$40,024","92201 / 63,915"
1325,"$40,021","95240 / 47,297"
1326,"$39,917","92220 / 32,793"
1327,"$39,880","93591 / 6,558"
1328,"$39,756","96021 / 16,121"
1329,"$39,753","91204 / 16,292"
1330,"$39,743","95380 / 41,069"
1331,"$39,622","91963 / 1,043"
1332,"$39,601","94601 / 49,990"
1333,"$39,551","93257 / 75,390"
1334,"$39,533","91950 / 61,262"
1335,"$39,528","92583 / 31,167"
1336,"$39,485","95963 / 15,018"
1337,"$39,481","95838 / 35,935"
1338,"$39,464","92548 / 7,020"
1339,"$39,409","92252 / 9,228"
1340,"$39,375",95646 / 98
1341,"$39,288","96080 / 27,650"
1342,"$39,219",95306 / 952
1343,"$39,206","90063 / 54,353"
1343,"$39,206","93280 / 27,390"
1345,"$39,167",95717 / 199
1346,"$39,110","95246 / 1,258"
1347,"$39,060","92701 / 52,588"
1348,"$39,055","90716 / 14,358"
1349,"$39,051","90022 / 69,516"
1349,"$39,051","93610 / 24,151"
1351,"$39,013",96092 / 277
1352,"$39,009","91402 / 70,781"
1353,"$38,907","96007 / 22,942"
1354,"$38,889",96038 / 599
1355,"$38,856","94801 / 29,269"
1356,"$38,853","92539 / 3,890"
1357,"$38,777","95821 / 34,439"
1358,"$38,767","92404 / 60,501"
1359,"$38,750","94956 / 1,687"
1359,"$38,750",95456 / 600
1359,"$38,750","95641 / 1,732"
1359,"$38,750",96068 / 135
1363,"$38,738","90043 / 43,118"
1364,"$38,733","93202 / 3,486"
1365,"$38,709","92395 / 42,481"
1366,"$38,690",95728 / 495
1367,"$38,665","93668 / 1,215"
1368,"$38,636","95916 / 1,291"
1369,"$38,563","95207 / 48,748"
1370,"$38,510","95210 / 40,820"
1371,"$38,502","93550 / 74,203"
1372,"$38,500","96057 / 1,332"
1373,"$38,493","90004 / 63,547"
1374,"$38,491","95019 / 7,374"
1375,"$38,464","95841 / 19,361"
1376,"$38,438",96017 / 234
1377,"$38,359",93673 / 910
1378,"$38,276","95437 / 14,351"
1379,"$38,269","93618 / 29,628"
1380,"$38,255","95605 / 14,326"
1381,"$38,229",92333 / 640
1382,"$38,175","95501 / 23,769"
1383,"$38,162","91405 / 53,406"
1384,"$38,089","96013 / 3,881"
1385,"$38,077","94130 / 3,083"
1386,"$38,050","90016 / 47,786"
1387,"$37,813","90301 / 36,714"
1388,"$37,727","96044 / 1,040"
1389,"$37,703",95410 / 886
1390,"$37,692","95490 / 12,905"
1391,"$37,672","95811 / 7,131"
1392,"$37,663",95910 / 115
1393,"$37,631",95385 / 515
1394,"$37,591","92405 / 29,526"
1395,"$37,500","95310 / 1,934"
1395,"$37,500","95951 / 2,948"
1397,"$37,461",95935 / 594
1398,"$37,414","91205 / 38,138"
1399,"$37,382","95825 / 31,083"
1400,"$37,321","95449 / 1,583"
1401,"$37,316","92277 / 24,112"
1402,"$37,296","95926 / 38,276"
1403,"$37,288","94606 / 37,001"
1404,"$37,264","95203 / 15,711"
1405,"$37,235","96134 / 2,506"
1406,"$37,207","93612 / 34,814"
1407,"$37,188",92322 / 911
1408,"$37,150","92391 / 3,001"
1409,"$37,121","90020 / 39,102"
1410,"$37,083","95462 / 1,216"
1411,"$37,082","90023 / 45,886"
1412,"$37,013","90201 / 102,515"
1413,"$36,955","91731 / 29,209"
1414,"$36,893","92105 / 71,334"
1415,"$36,890","93638 / 49,761"
1416,"$36,875","94108 / 13,930"
1416,"$36,875",96065 / 387
1416,"$36,875",96071 / 77
1419,"$36,845","94511 / 2,158"
1420,"$36,838",92309 / 916
1421,"$36,778","90304 / 26,936"
1422,"$36,737","92637 / 16,284"
1423,"$36,731","95823 / 73,641"
1424,"$36,678","95255 / 1,991"
1425,"$36,563","95567 / 1,854"
1426,"$36,500","92004 / 2,624"
1427,"$36,450","90270 / 27,663"
1428,"$36,447",96059 / 711
1429,"$36,429",96040 / 229
1430,"$36,406",93244 / 340
1431,"$36,394","92586 / 19,384"
1432,"$36,321","93215 / 56,028"
1433,"$36,310",96069 / 880
1434,"$36,254","95354 / 24,356"
1435,"$36,201","95445 / 1,522"
1436,"$36,196","95454 / 2,135"
1437,"$36,180","90008 / 33,012"
1438,"$36,167","95231 / 4,961"
1439,"$36,000",95558 / 360
1440,"$35,985","90255 / 76,206"
1441,"$35,750",95595 / 180
1442,"$35,745","92173 / 31,518"
1443,"$35,635","93725 / 26,879"
1444,"$35,634","95542 / 2,718"
1445,"$35,607","95573 / 1,433"
1446,"$35,603","92327 / 1,202"
1447,"$35,600","93534 / 39,120"
1448,"$35,476","95313 / 1,006"
1449,"$35,429","93203 / 21,784"
1450,"$35,315","92240 / 35,878"
1451,"$35,253","90029 / 40,161"
1452,"$35,220","95965 / 20,599"
1453,"$35,150","93304 / 51,607"
1454,"$34,961","93250 / 13,925"
1455,"$34,945","96122 / 4,382"
1456,"$34,911",95527 / 553
1457,"$34,896","92241 / 9,156"
1458,"$34,869","93620 / 10,028"
1459,"$34,845","95817 / 14,472"
1460,"$34,783","92386 / 1,949"
1461,"$34,769",93452 / 721
1462,"$34,750",92328 / 281
1462,"$34,750",93207 / 263
1464,"$34,733","92231 / 39,675"
1465,"$34,732","95351 / 48,437"
1466,"$34,688",96111 / 69
1467,"$34,656","90031 / 39,333"
1468,"$34,643","95415 / 1,591"
1469,"$34,583",95552 / 587
1470,"$34,566","90061 / 28,641"
1471,"$34,565","93212 / 25,204"
1472,"$34,537","92301 / 32,667"
1473,"$34,505","93247 / 18,932"
1473,"$34,505","93272 / 3,438"
1475,"$34,500","95947 / 1,663"
1476,"$34,464",96050 / 408
1477,"$34,358","93307 / 84,184"
1478,"$34,192","94607 / 24,830"
1479,"$34,191",96048 / 977
1480,"$34,063",92282 / 783
1480,"$34,063",95735 / 30
1482,"$34,050","90001 / 56,314"
1483,"$33,850","90038 / 28,798"
1484,"$33,813",93665 / 612
1485,"$33,750","92408 / 15,318"
1486,"$33,678","90059 / 42,470"
1487,"$33,600","93624 / 1,359"
1488,"$33,582","92356 / 6,293"
1489,"$33,375","92086 / 1,335"
1490,"$33,373","95814 / 10,076"
1491,"$33,357","95205 / 36,928"
1492,"$33,333",96123 / 36
1493,"$33,309",95335 / 613
1494,"$33,173","95903 / 1,772"
1495,"$33,162","93267 / 6,962"
1496,"$33,125","92368 / 1,064"
1496,"$33,125",95555 / 329
1498,"$33,100","95968 / 1,438"
1499,"$33,036","95317 / 1,033"
1500,"$33,011","93249 / 2,698"
1501,"$32,898","93647 / 11,926"
1502,"$32,897","93501 / 5,258"
1503,"$32,783","93235 / 4,044"
1504,"$32,782","95428 / 2,491"
1505,"$32,750",93254 / 700
1506,"$32,747","92411 / 26,364"
1507,"$32,721","96025 / 2,102"
1508,"$32,711","95521 / 20,769"
1509,"$32,710","92363 / 5,355"
1510,"$32,658","93728 / 14,711"
1511,"$32,635","93705 / 38,130"
1512,"$32,634","96052 / 1,652"
1513,"$32,500",96010 / 187
1513,"$32,500",96126 / 133
1515,"$32,471","93726 / 42,618"
1516,"$32,431",95432 / 348
1517,"$32,361",95715 / 80
1518,"$32,328","92233 / 10,460"
1519,"$32,319","95365 / 4,796"
1520,"$32,273","93223 / 10,759"
1521,"$32,233","95341 / 33,744"
1522,"$32,175","93648 / 16,102"
1523,"$32,125","93622 / 9,747"
1524,"$32,104","90018 / 48,852"
1525,"$32,067","90062 / 32,675"
1526,"$32,054","92281 / 1,960"
1527,"$32,045","92256 / 3,631"
1528,"$31,964",95543 / 551
1529,"$31,932",95569 / 277
1530,"$31,917",96091 / 578
1531,"$31,912","93545 / 2,099"
1532,"$31,892",95934 / 504
1533,"$31,886","93241 / 18,474"
1534,"$31,818","93650 / 3,767"
1535,"$31,771","93252 / 3,665"
1536,"$31,742","90028 / 29,994"
1537,"$31,544",93621 / 307
1538,"$31,438",95686 / 965
1539,"$31,403","90006 / 61,419"
1540,"$31,296",92266 / 62
1541,"$31,250","93616 / 2,126"
1541,"$31,250",96074 / 199
1541,"$31,250",96115 / 212
1544,"$31,215","90813 / 60,017"
1545,"$31,214","90005 / 38,638"
1546,"$31,144","93285 / 2,218"
1547,"$31,111",93608 / 725
1548,"$31,058",96058 / 752
1549,"$30,997","94704 / 26,334"
1550,"$30,963","93301 / 11,685"
1551,"$30,879","94612 / 14,500"
1552,"$30,710","96023 / 1,339"
1553,"$30,708","93516 / 2,271"
1554,"$30,528","94621 / 32,269"
1555,"$30,500",96034 / 285
1556,"$30,478","93562 / 1,781"
